dataset,stage,track,point,config_name,stdout_log,stderr_log,runtime_fairness_degraded,status,accuracy,macro_f1,balanced_accuracy,optimizer_name,weight_decay,scheduler_name,epochs_completed,last_train_loss,last_val_loss,train_elapsed_seconds,predict_elapsed_seconds,train_process_peak_rss_gb,predict_process_peak_rss_gb,train_gpu_peak_memory_gb,predict_gpu_peak_memory_gb,device_used,num_threads_used,early_stopping_note
PHMap_Lung_Full_v43_light,stage_b,gpu,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,False,success,0.5885,0.63831320283463,0.6482630332766381,adam,0.0,,7,0.135284,0.668496,8.2459,0.0554,5.8408,6.6828,0.0926,0.0444,cuda,10,stopped_early
PHMap_Lung_Full_v43_light,stage_b,gpu,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,False,success,0.5949,0.6552671128032463,0.6672759624924092,adamw,5e-05,,8,0.096128,0.724371,9.5654,0.0558,5.8394,6.6003,0.0926,0.0447,cuda,10,stopped_early
PHMap_Lung_Full_v43_light,stage_b,gpu,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,False,success,0.5782,0.6626589057279297,0.6776507588007449,adam,0.0,,7,0.126177,0.663355,8.2656,0.0745,5.8475,7.0895,0.0926,0.0444,cuda,10,stopped_early
PHMap_Lung_Full_v43_light,stage_b,gpu,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,False,success,0.5815,0.6539825317081941,0.668898085307977,adamw,5e-05,,7,0.133457,0.650415,8.2419,0.08,5.8399,7.0886,0.0926,0.0444,cuda,10,stopped_early
mTCA,stage_b,cpu_core,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,True,success,0.9406,0.8543628609844209,0.8530486332941204,adam,0.0,,10,0.063781,0.184907,33.8141,0.1242,5.3457,5.5784,0.0,0.0,cpu,10,stopped_early
mTCA,stage_b,cpu_core,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,True,success,0.9415,0.8484374727534251,0.8491597527207341,adamw,5e-05,,8,0.080368,0.17138,27.7985,0.1168,5.3452,5.4286,0.0,0.0,cpu,10,stopped_early
mTCA,stage_b,cpu_core,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,True,success,0.942,0.8374537138485407,0.8358503729476379,adam,0.0,,8,0.078838,0.175504,26.587,0.126,5.3466,5.4871,0.0,0.0,cpu,10,stopped_early
mTCA,stage_b,cpu_core,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,True,success,0.9448,0.8771431283943966,0.8742518567812295,adamw,5e-05,,9,0.069815,0.177197,30.082,0.0922,5.3434,6.3575,0.0,0.0,cpu,10,stopped_early
mTCA,stage_b,gpu,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,False,success,0.937,0.8419616623470864,0.8443694396532845,adam,0.0,,6,0.04775,0.230703,7.1613,0.0623,5.8387,6.2495,0.0923,0.0446,cuda,10,stopped_early
mTCA,stage_b,gpu,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,False,success,0.9344,0.8562995141860881,0.8517563794326617,adamw,5e-05,,8,0.024948,0.257926,9.5646,0.0552,5.8519,6.2369,0.0923,0.0446,cuda,10,stopped_early
mTCA,stage_b,gpu,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,False,success,0.9402,0.8299935180755749,0.8341657561474052,adam,0.0,,6,0.046535,0.208347,7.1234,0.0798,5.8129,6.226,0.0923,0.0446,cuda,10,stopped_early
mTCA,stage_b,gpu,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,False,success,0.9421,0.8518150671352078,0.8497964513531182,adamw,5e-05,,7,0.032762,0.233482,8.205,0.0548,5.8021,6.1577,0.0852,0.0443,cuda,10,stopped_early
